                INSERTION (Open-Addressing)                 
------------------------------------------------------------
LENGTH    LF      START_INSERTIONS    TIME
------------------------------------------------------------
100       0.0     0                   2.460479736328125e-06
100       0.05    5                   2.262592315673828e-06
100       0.1     10                  2.4509429931640623e-06
100       0.15    15                  2.653598785400391e-06
100       0.2     20                  2.903938293457031e-06
100       0.25    25                  3.1518936157226564e-06
100       0.3     30                  3.1805038452148437e-06
100       0.35    35                  3.96728515625e-06   
100       0.4     40                  4.475116729736328e-06
100       0.45    45                  4.866123199462891e-06
100       0.5     50                  4.978179931640625e-06
100       0.55    55                  4.878044128417969e-06
100       0.6     60                  5.233287811279297e-06
100       0.65    65                  5.319118499755859e-06
100       0.7     70                  6.210803985595703e-06
100       0.75    75                  6.9546699523925785e-06
100       0.8     80                  6.725788116455078e-06
100       0.85    85                  6.856918334960938e-06
100       0.9     90                  8.134841918945312e-06
100       0.95    95                  7.736682891845704e-06
1000      0.0     0                   2.176761627197266e-06
1000      0.05    50                  2.4151802062988283e-06
1000      0.1     100                 2.7632713317871093e-06
1000      0.15    150                 2.8014183044433594e-06
1000      0.2     200                 4.475116729736328e-06
1000      0.25    250                 5.1164627075195315e-06
1000      0.3     300                 6.060600280761719e-06
1000      0.35    350                 7.147789001464844e-06
1000      0.4     400                 8.213520050048829e-06
1000      0.45    450                 8.156299591064453e-06
1000      0.5     500                 8.75234603881836e-06
1000      0.55    550                 1.1301040649414062e-05
1000      0.6     600                 1.0483264923095703e-05
1000      0.65    650                 1.4166831970214844e-05
1000      0.7     700                 1.4219284057617188e-05
1000      0.75    750                 1.3511180877685547e-05
1000      0.8     800                 1.6171932220458984e-05
1000      0.85    850                 1.765727996826172e-05
1000      0.9     900                 2.0077228546142577e-05
1000      0.95    950                 2.9349327087402342e-05
10000     0.0     0                   2.2292137145996093e-06
10000     0.05    500                 2.47955322265625e-06
10000     0.1     1000                4.3487548828125e-06 
10000     0.15    1500                5.562305450439453e-06
10000     0.2     2000                9.86337661743164e-06
10000     0.25    2500                7.472038269042969e-06
10000     0.3     3000                1.2409687042236327e-05
10000     0.35    3500                1.444101333618164e-05
10000     0.4     4000                2.079963684082031e-05
10000     0.45    4500                2.343416213989258e-05
10000     0.5     5000                2.9718875885009767e-05
10000     0.55    5500                3.058433532714844e-05
10000     0.6     6000                3.370046615600586e-05
10000     0.65    6500                3.6468505859375e-05 
10000     0.7     7000                3.983020782470703e-05
10000     0.75    7500                4.675865173339844e-05
10000     0.8     8000                4.7864913940429685e-05
10000     0.85    8500                5.060195922851563e-05
10000     0.9     9000                5.6536197662353515e-05
10000     0.95    9500                6.28495216369629e-05
------------------------------------------------------------

                  SEARCH (Open-Addressing)                  
------------------------------------------------------------
LENGTH    LF      TIME
------------------------------------------------------------
100       0.05    1.6093254089355469e-06
100       0.1     2.4485588073730468e-06
100       0.15    2.238750457763672e-06
100       0.2     3.0112266540527346e-06
100       0.25    2.9969215393066407e-06
100       0.3     3.988742828369141e-06
100       0.35    4.048347473144531e-06
100       0.4     1.9931793212890624e-06
100       0.45    3.001689910888672e-06
100       0.5     3.0755996704101563e-06
100       0.55    3.1566619873046876e-06
100       0.6     3.108978271484375e-06
100       0.65    2.9850006103515624e-06
100       0.7     4.260540008544922e-06
100       0.75    3.8313865661621094e-06
100       0.8     3.4427642822265624e-06
100       0.85    3.2138824462890626e-06
100       0.9     3.337860107421875e-06
100       0.95    2.9540061950683595e-06
1000      0.05    1.3327598571777343e-06
1000      0.1     2.2220611572265626e-06
1000      0.15    1.7619132995605468e-06
1000      0.2     2.3961067199707033e-06
1000      0.25    2.6988983154296876e-06
1000      0.3     3.0231475830078124e-06
1000      0.35    4.265308380126953e-06
1000      0.4     5.238056182861328e-06
1000      0.45    4.904270172119141e-06
1000      0.5     4.863739013671875e-06
1000      0.55    5.249977111816406e-06
1000      0.6     6.303787231445313e-06
1000      0.65    9.937286376953125e-06
1000      0.7     8.44717025756836e-06
1000      0.75    9.589195251464843e-06
1000      0.8     9.92298126220703e-06
1000      0.85    1.0251998901367188e-05
1000      0.9     1.125335693359375e-05
1000      0.95    1.913309097290039e-05
10000     0.05    1.201629638671875e-06
10000     0.1     2.4199485778808595e-06
10000     0.15    4.475116729736328e-06
10000     0.2     4.904270172119141e-06
10000     0.25    5.347728729248047e-06
10000     0.3     8.156299591064453e-06
10000     0.35    7.305145263671875e-06
10000     0.4     9.188652038574219e-06
10000     0.45    1.0881423950195313e-05
10000     0.5     1.4276504516601563e-05
10000     0.55    1.575946807861328e-05
10000     0.6     2.0492076873779298e-05
10000     0.65    1.9812583923339842e-05
10000     0.7     2.4759769439697264e-05
10000     0.75    2.5207996368408204e-05
10000     0.8     2.5200843811035157e-05
10000     0.85    3.1349658966064455e-05
10000     0.9     3.44395637512207e-05
10000     0.95    3.4041404724121094e-05
------------------------------------------------------------

                  DELETE (Open-Addressing)                  
------------------------------------------------------------
LENGTH    LF      TIME
------------------------------------------------------------
100       0.05    1.423358917236328e-06
100       0.1     1.7595291137695312e-06
100       0.15    1.1420249938964844e-06
100       0.2     1.392364501953125e-06
100       0.25    1.3637542724609374e-06
100       0.3     2.205371856689453e-06
100       0.35    2.1195411682128908e-06
100       0.4     1.950263977050781e-06
100       0.45    2.2840499877929688e-06
100       0.5     2.467632293701172e-06
100       0.55    2.610683441162109e-06
100       0.6     2.789497375488281e-06
100       0.65    2.4652481079101562e-06
100       0.7     3.0469894409179686e-06
100       0.75    3.1375885009765625e-06
